2026-08-01 22:29:31 | INFO     | MantraAI | Speaking: 'Hello! I'm Mantra, version 1.0. Please wait while I calibrate my microphone.'
2026-08-01 22:29:39 | INFO     | MantraAI | Calibrating microphone for ambient noise…
2026-08-01 22:29:40 | INFO     | MantraAI | Calibration complete.
2026-08-01 22:29:40 | INFO     | MantraAI | WakeWordDetector ready. Wake word: 'hello mantra'
2026-08-01 22:29:40 | INFO     | MantraAI | Wake word listener active – waiting for wake word…
2026-08-01 22:29:40 | INFO     | MantraAI | Wake word detector started.
2026-08-01 22:29:40 | INFO     | MantraAI | Assistant initialised. All modules loaded.
2026-08-01 22:29:40 | INFO     | MantraAI | Speaking: 'I'm ready. Say 'Hello Mantra' to wake me up.'
2026-08-01 22:30:05 | DEBUG    | MantraAI | Wake listener heard: 'hello'
2026-08-01 22:30:05 | DEBUG    | MantraAI | Wake listener heard: 'hello'
2026-08-01 22:30:26 | INFO     | MantraAI | Interrupt signal received. Exiting.
2026-08-01 22:30:26 | INFO     | MantraAI | Wake word detector stopped.
2026-08-01 22:30:26 | INFO     | MantraAI | Speaking: 'Goodbye! Mantra is shutting down.'
2026-08-01 22:30:30 | INFO     | MantraAI.main | MantraAI shutdown complete.
2026-08-01 22:30:30 | INFO     | MantraAI.main | MantraAI shutdown complete.
2026-08-01 22:30:36 | DEBUG    | MantraAI | Wake listener heard: 'sexy'
2026-08-01 22:30:43 | INFO     | MantraAI | TTS voice set to: Microsoft Hazel Desktop - English (Great Britain)
2026-08-01 22:30:43 | INFO     | MantraAI | TextToSpeech initialised.
2026-08-01 22:30:43 | INFO     | MantraAI | SpeechToText initialised.
2026-08-01 22:30:43 | INFO     | MantraAI | Speaking: 'Hello! I'm Mantra, version 1.0. Please wait while I calibrate my microphone.'
2026-08-01 22:30:51 | INFO     | MantraAI | Calibrating microphone for ambient noise…
2026-08-01 22:30:53 | INFO     | MantraAI | Calibration complete.
2026-08-01 22:30:53 | INFO     | MantraAI | WakeWordDetector ready. Wake word: 'hello mantra'
2026-08-01 22:30:53 | INFO     | MantraAI | Wake word listener active – waiting for wake word…
2026-08-01 22:30:53 | INFO     | MantraAI | Wake word detector started.
2026-08-01 22:30:53 | INFO     | MantraAI | Assistant initialised. All modules loaded.
2026-08-01 22:30:53 | INFO     | MantraAI | Speaking: 'I'm ready. Say 'Hello Mantra' to wake me up.'
2026-08-01 22:30:58 | INFO     | MantraAI | Interrupt signal received. Exiting.
2026-08-01 22:30:58 | INFO     | MantraAI | Wake word detector stopped.
2026-08-01 22:30:58 | INFO     | MantraAI | Speaking: 'Goodbye! Mantra is shutting down.'
2026-08-01 22:30:59 | DEBUG    | MantraAI | Wake listener heard: 'kya'
2026-08-01 22:31:02 | INFO     | MantraAI.main | MantraAI shutdown complete.
2026-08-01 22:31:02 | INFO     | MantraAI.main | MantraAI shutdown complete.
2026-08-01 22:31:24 | INFO     | MantraAI | TTS voice set to: Microsoft Hazel Desktop - English (Great Britain)
2026-08-01 22:31:24 | INFO     | MantraAI | TextToSpeech initialised.
2026-08-01 22:31:25 | INFO     | MantraAI | SpeechToText initialised.
2026-08-01 22:31:25 | INFO     | MantraAI | Speaking: 'Hello! I'm Mantra, version 1.0. Please wait while I calibrate my microphone.'
2026-08-01 22:31:33 | INFO     | MantraAI | Calibrating microphone for ambient noise…
2026-08-01 22:31:34 | INFO     | MantraAI | Calibration complete.
2026-08-01 22:31:34 | INFO     | MantraAI | WakeWordDetector ready. Wake word: 'hello mantra'
2026-08-01 22:31:34 | INFO     | MantraAI | Wake word listener active – waiting for wake word…
2026-08-01 22:31:34 | INFO     | MantraAI | Wake word detector started.
2026-08-01 22:31:34 | INFO     | MantraAI | Assistant initialised. All modules loaded.
2026-08-01 22:31:34 | INFO     | MantraAI | Speaking: 'I'm ready. Say 'Hello Mantra' to wake me up.'
2026-08-01 22:33:17 | DEBUG    | MantraAI | Wake listener heard: 'majak nahin'
2026-08-01 22:33:17 | DEBUG    | MantraAI | Wake listener heard: 'majak nahin'
2026-08-01 22:33:51 | DEBUG    | MantraAI | Wake listener heard: 'english'
2026-08-01 22:34:39 | INFO     | MantraAI | Interrupt signal received. Exiting.
2026-08-01 22:34:39 | INFO     | MantraAI | Wake word detector stopped.
2026-08-01 22:34:39 | INFO     | MantraAI | Speaking: 'Goodbye! Mantra is shutting down.'
2026-08-01 22:34:43 | INFO     | MantraAI.main | MantraAI shutdown complete.
2026-08-01 22:34:43 | INFO     | MantraAI.main | MantraAI shutdown complete.
2026-08-01 22:35:12 | INFO     | MantraAI | TTS voice set to: Microsoft Hazel Desktop - English (Great Britain)
2026-08-01 22:35:12 | INFO     | MantraAI | TextToSpeech initialised.
2026-08-01 22:35:12 | INFO     | MantraAI | SpeechToText initialised.
2026-08-01 22:35:12 | INFO     | MantraAI | Speaking: 'Hello! I'm Mantra, version 1.0. Please wait while I calibrate my microphone.'
2026-08-01 22:35:20 | INFO     | MantraAI | Calibrating microphone for ambient noise…
2026-08-01 22:35:22 | INFO     | MantraAI | Calibration complete.
2026-08-01 22:35:22 | INFO     | MantraAI | WakeWordDetector ready. Wake word: 'hello mantra'
2026-08-01 22:35:22 | INFO     | MantraAI | Wake word listener active – waiting for wake word…
2026-08-01 22:35:22 | INFO     | MantraAI | Wake word detector started.
2026-08-01 22:35:22 | INFO     | MantraAI | Assistant initialised. All modules loaded.
2026-08-01 22:35:22 | INFO     | MantraAI | Speaking: 'I'm ready. Say 'Hello Mantra' to wake me up.'
2026-08-01 22:35:29 | INFO     | MantraAI | Interrupt signal received. Exiting.
2026-08-01 22:35:29 | INFO     | MantraAI | Wake word detector stopped.
2026-08-01 22:35:29 | INFO     | MantraAI | Speaking: 'Goodbye! Mantra is shutting down.'
2026-08-01 22:35:33 | INFO     | MantraAI.main | MantraAI shutdown complete.
2026-08-01 22:35:33 | INFO     | MantraAI.main | MantraAI shutdown complete.
2026-08-01 22:35:49 | INFO     | MantraAI | TTS voice set to: Microsoft Hazel Desktop - English (Great Britain)
2026-08-01 22:35:49 | INFO     | MantraAI | TextToSpeech initialised.
2026-08-01 22:35:50 | INFO     | MantraAI | SpeechToText initialised.
2026-08-01 22:35:50 | INFO     | MantraAI | Speaking: 'Hello! I'm Mantra, version 1.0. Please wait while I calibrate my microphone.'
2026-08-01 22:35:58 | INFO     | MantraAI | Interrupt signal received. Exiting.
2026-08-01 22:35:58 | INFO     | MantraAI | Calibrating microphone for ambient noise…
2026-08-01 22:36:00 | INFO     | MantraAI | Calibration complete.
2026-08-01 22:36:00 | INFO     | MantraAI | WakeWordDetector ready. Wake word: 'hello mantra'
2026-08-01 22:36:00 | INFO     | MantraAI | Wake word listener active – waiting for wake word…
2026-08-01 22:36:00 | INFO     | MantraAI | Wake word detector started.
2026-08-01 22:36:00 | INFO     | MantraAI | Assistant initialised. All modules loaded.
2026-08-01 22:36:00 | INFO     | MantraAI | Speaking: 'I'm ready. Say 'Hello Mantra' to wake me up.'
2026-08-01 22:36:04 | INFO     | MantraAI | Wake word detector stopped.
2026-08-01 22:36:04 | INFO     | MantraAI | Speaking: 'Goodbye! Mantra is shutting down.'
2026-08-01 22:36:08 | INFO     | MantraAI.main | MantraAI shutdown complete.
2026-08-01 22:36:08 | INFO     | MantraAI.main | MantraAI shutdown complete.
2026-08-01 22:36:45 | INFO     | MantraAI | TTS voice set to: Microsoft Hazel Desktop - English (Great Britain)
2026-08-01 22:36:45 | INFO     | MantraAI | TextToSpeech initialised.
2026-08-01 22:36:46 | INFO     | MantraAI | SpeechToText initialised.
2026-08-01 22:36:46 | INFO     | MantraAI | Speaking: 'Hello! I'm Mantra, version 1.0. Please wait while I calibrate my microphone.'
2026-08-01 22:36:54 | INFO     | MantraAI | Calibrating microphone for ambient noise…
2026-08-01 22:36:56 | INFO     | MantraAI | Calibration complete.
2026-08-01 22:36:56 | INFO     | MantraAI | WakeWordDetector ready. Wake word: 'hello mantra'
2026-08-01 22:36:56 | INFO     | MantraAI | Wake word listener active – waiting for wake word…
2026-08-01 22:36:56 | INFO     | MantraAI | Wake word detector started.
2026-08-01 22:36:56 | INFO     | MantraAI | Assistant initialised. All modules loaded.
2026-08-01 22:36:56 | INFO     | MantraAI | Speaking: 'I'm ready. Say 'Hello Mantra' to wake me up.'
2026-08-01 22:39:16 | DEBUG    | MantraAI | Wake listener heard: 'call'
2026-08-02 11:48:37 | INFO     | MantraAI | TTS voice set to: Microsoft Hazel Desktop - English (Great Britain)
2026-08-02 11:48:37 | INFO     | MantraAI | TextToSpeech initialised.
2026-08-02 11:48:37 | INFO     | MantraAI | SpeechToText initialised.
2026-08-02 11:48:37 | INFO     | MantraAI | Speaking: 'Hello! I'm Mantra, version 1.0. Please wait while I calibrate my microphone.'
2026-08-02 11:48:46 | INFO     | MantraAI | Calibrating microphone for ambient noise…
2026-08-02 11:48:47 | INFO     | MantraAI | Calibration complete.
2026-08-02 11:48:47 | INFO     | MantraAI | WakeWordDetector ready. Wake word: 'hello mantra'
2026-08-02 11:48:47 | INFO     | MantraAI | Wake word listener active – waiting for wake word…
2026-08-02 11:48:47 | INFO     | MantraAI | Wake word detector started.
2026-08-02 11:48:47 | INFO     | MantraAI | Assistant initialised. All modules loaded.
2026-08-02 11:48:47 | INFO     | MantraAI | Speaking: 'I'm ready. Say 'Hello Mantra' to wake me up.'
2026-08-02 11:48:52 | ERROR    | MantraAI | Wake word STT request error: recognition connection failed: [Errno 11001] getaddrinfo failed
2026-08-02 11:48:54 | ERROR    | MantraAI | Wake word STT request error: recognition connection failed: [Errno 11001] getaddrinfo failed
2026-08-02 11:49:01 | ERROR    | MantraAI | Wake word STT request error: recognition connection failed: [Errno 11001] getaddrinfo failed
2026-08-02 11:49:03 | ERROR    | MantraAI | Wake word STT request error: recognition connection failed: [Errno 11001] getaddrinfo failed
2026-08-02 11:49:06 | ERROR    | MantraAI | Wake word STT request error: recognition connection failed: [Errno 11001] getaddrinfo failed
2026-08-02 11:49:08 | ERROR    | MantraAI | Wake word STT request error: recognition connection failed: [Errno 11001] getaddrinfo failed
2026-08-02 11:49:14 | ERROR    | MantraAI | Wake word STT request error: recognition connection failed: [Errno 11001] getaddrinfo failed
2026-08-02 11:49:17 | ERROR    | MantraAI | Wake word STT request error: recognition connection failed: [Errno 11001] getaddrinfo failed
2026-08-02 11:49:20 | ERROR    | MantraAI | Wake word STT request error: recognition connection failed: [Errno 11001] getaddrinfo failed
2026-08-02 11:49:24 | ERROR    | MantraAI | Wake word STT request error: recognition connection failed: [Errno 11001] getaddrinfo failed
2026-08-02 11:49:26 | ERROR    | MantraAI | Wake word STT request error: recognition connection failed: [Errno 11001] getaddrinfo failed
2026-08-02 11:49:29 | ERROR    | MantraAI | Wake word STT request error: recognition connection failed: [Errno 11001] getaddrinfo failed
2026-08-02 11:49:32 | ERROR    | MantraAI | Wake word STT request error: recognition connection failed: [Errno 11001] getaddrinfo failed
2026-08-02 11:49:35 | ERROR    | MantraAI | Wake word STT request error: recognition connection failed: [Errno 11001] getaddrinfo failed
2026-08-02 11:49:38 | ERROR    | MantraAI | Wake word STT request error: recognition connection failed: [Errno 11001] getaddrinfo failed
2026-08-02 11:49:40 | ERROR    | MantraAI | Wake word STT request error: recognition connection failed: [Errno 11001] getaddrinfo failed
2026-08-02 11:49:43 | ERROR    | MantraAI | Wake word STT request error: recognition connection failed: [Errno 11001] getaddrinfo failed
2026-08-02 11:49:45 | ERROR    | MantraAI | Wake word STT request error: recognition connection failed: [Errno 11001] getaddrinfo failed
2026-08-02 11:49:48 | ERROR    | MantraAI | Wake word STT request error: recognition connection failed: [Errno 11001] getaddrinfo failed
2026-08-02 11:49:51 | ERROR    | MantraAI | Wake word STT request error: recognition connection failed: [Errno 11001] getaddrinfo failed
2026-08-02 11:49:54 | ERROR    | MantraAI | Wake word STT request error: recognition connection failed: [Errno 11001] getaddrinfo failed
2026-08-02 11:49:57 | ERROR    | MantraAI | Wake word STT request error: recognition connection failed: [Errno 11001] getaddrinfo failed
2026-08-02 11:50:04 | ERROR    | MantraAI | Wake word STT request error: recognition connection failed: [Errno 11001] getaddrinfo failed
2026-08-02 11:50:08 | ERROR    | MantraAI | Wake word STT request error: recognition connection failed: [Errno 11001] getaddrinfo failed
2026-08-02 11:50:10 | ERROR    | MantraAI | Wake word STT request error: recognition connection failed: [Errno 11001] getaddrinfo failed
2026-08-02 11:50:13 | ERROR    | MantraAI | Wake word STT request error: recognition connection failed: [Errno 11001] getaddrinfo failed
2026-08-02 11:50:15 | ERROR    | MantraAI | Wake word STT request error: recognition connection failed: [Errno 11001] getaddrinfo failed
2026-08-02 11:50:18 | ERROR    | MantraAI | Wake word STT request error: recognition connection failed: [Errno 11001] getaddrinfo failed
2026-08-02 11:53:32 | INFO     | MantraAI | TTS voice set to: Microsoft Hazel Desktop - English (Great Britain)
2026-08-02 11:53:32 | INFO     | MantraAI | TextToSpeech initialised.
2026-08-02 11:53:33 | INFO     | MantraAI | SpeechToText initialised.
2026-08-02 11:53:33 | INFO     | MantraAI | Speaking: 'Hello! I'm Mantra, version 1.0. Please wait while I calibrate my microphone.'
2026-08-02 11:53:41 | INFO     | MantraAI | Calibrating microphone for ambient noise…
2026-08-02 11:53:43 | INFO     | MantraAI | Calibration complete.
2026-08-02 11:53:43 | INFO     | MantraAI | WakeWordDetector ready. Wake word: 'hello mantra'
2026-08-02 11:53:43 | INFO     | MantraAI | Wake word listener active – waiting for wake word…
2026-08-02 11:53:43 | INFO     | MantraAI | Wake word detector started.
2026-08-02 11:53:43 | INFO     | MantraAI | Assistant initialised. All modules loaded.
2026-08-02 11:53:43 | INFO     | MantraAI | Speaking: 'I'm ready. Say 'Hello Mantra' to wake me up.'
2026-08-02 11:57:06 | INFO     | MantraAI | Interrupt signal received. Exiting.
